id,target
1025,1557
1026,595
1027,48
1028,1541
1029,60
1030,25
1031,49
1032,165
1033,1808
1034,440
1035,874
1036,1071
1037,14
1038,163
1039,1008
1040,501
1041,107
1042,1395
1043,89
1044,14
1045,41
1046,1622
1047,1344
1048,1944
1049,1546
1050,1297
1051,97
1052,1282
1053,1001
1054,42
1055,1585
1056,827
1057,989
1058,1202
1059,402
1060,297
1061,42
1062,1727
1063,1276
1064,46
1065,95
1066,835
1067,88
1068,1574
1069,74
1070,393
1071,42
1072,84
1073,110
1074,69
1075,295
1076,804
1077,52
1078,1268
1079,1658
1080,1691
1081,988
1082,1269
1083,98
1084,1007
1085,115
1086,1017
1087,38
1088,897
1089,80
1090,68
1091,44
1092,1116
1093,81
1094,199
1095,40
1096,446
1097,79
1098,82
1099,11
1100,35
1101,59
1102,559
1103,73
1104,31
1105,62
1106,1279
1107,150
